	avail_bikes	timestamp
336	0	2016-01-01 00:00:00
3511	0	2016-01-01 01:00:00
4141	1	2016-01-01 02:00:00
4529	2	2016-01-01 03:00:00
532	0	2016-01-01 04:00:00
903	0	2016-01-01 05:00:00
1516	0	2016-01-01 06:00:00
1905	0	2016-01-01 07:00:00
2931	0	2016-01-01 08:00:00
3309	1	2016-01-01 09:00:00
3935	2	2016-01-01 10:00:00
4517	0	2016-01-01 11:00:00
3172	2	2016-01-01 12:00:00
571	2	2016-01-01 13:00:00
4255	0	2016-01-01 14:00:00
3883	0	2016-01-01 15:00:00
3536	0	2016-01-01 16:00:00
2630	7	2016-01-01 17:00:00
1932	10	2016-01-01 18:00:00
1558	11	2016-01-01 19:00:00
655	18	2016-01-01 20:00:00
211	23	2016-01-01 21:00:00
4490	18	2016-01-01 22:00:00
3785	19	2016-01-01 23:00:00
2180	21	2016-01-02 00:00:00
3664	22	2016-01-02 01:00:00
3284	21	2016-01-02 02:00:00
2529	21	2016-01-02 03:00:00
1846	21	2016-01-02 04:00:00
1269	21	2016-01-02 05:00:00
847	21	2016-01-02 06:00:00
212	21	2016-01-02 07:00:00
4251	18	2016-01-02 08:00:00
4032	17	2016-01-02 09:00:00
3341	18	2016-01-02 10:00:00
2402	10	2016-01-02 11:00:00
1600	9	2016-01-02 12:00:00
4641	7	2016-01-02 13:00:00
63	6	2016-01-02 14:00:00
1010	5	2016-01-02 15:00:00
1385	6	2016-01-02 16:00:00
2297	13	2016-01-02 17:00:00
2522	20	2016-01-02 18:00:00
3452	22	2016-01-02 19:00:00
3835	24	2016-01-02 20:00:00
4354	23	2016-01-02 21:00:00
424	24	2016-01-02 22:00:00
1124	21	2016-01-02 23:00:00
1467	22	2016-01-03 00:00:00
4512	21	2016-01-03 01:00:00
2565	20	2016-01-03 02:00:00
3055	17	2016-01-03 03:00:00
1319	17	2016-01-03 04:00:00
2071	17	2016-01-03 05:00:00
427	17	2016-01-03 06:00:00
1056	17	2016-01-03 07:00:00
3825	17	2016-01-03 08:00:00
4507	14	2016-01-03 09:00:00
2825	10	2016-01-03 10:00:00
3460	8	2016-01-03 11:00:00
2285	9	2016-01-03 12:00:00
3646	9	2016-01-03 13:00:00
747	9	2016-01-03 14:00:00
148	10	2016-01-03 15:00:00
2055	9	2016-01-03 16:00:00
1411	8	2016-01-03 17:00:00
3033	14	2016-01-03 18:00:00
2473	8	2016-01-03 19:00:00
4694	10	2016-01-03 20:00:00
3895	9	2016-01-03 21:00:00
756	8	2016-01-03 22:00:00
401	8	2016-01-03 23:00:00
3480	8	2016-01-04 00:00:00
9	8	2016-01-04 01:00:00
1989	8	2016-01-04 02:00:00
1594	8	2016-01-04 03:00:00
3075	8	2016-01-04 04:00:00
2603	8	2016-01-04 05:00:00
4250	7	2016-01-04 06:00:00
4076	7	2016-01-04 07:00:00
1100	2	2016-01-04 08:00:00
208	1	2016-01-04 09:00:00
2336	0	2016-01-04 10:00:00
1608	1	2016-01-04 11:00:00
298	1	2016-01-04 12:00:00
3576	2	2016-01-04 13:00:00
1261	1	2016-01-04 14:00:00
1888	2	2016-01-04 15:00:00
4721	12	2016-01-04 19:00:00
2716	11	2016-01-04 20:00:00
3364	11	2016-01-04 21:00:00
1572	11	2016-01-04 22:00:00
2255	13	2016-01-04 23:00:00
2440	14	2016-01-05 00:00:00
1177	14	2016-01-05 01:00:00
1250	15	2016-01-05 02:00:00
1900	15	2016-01-05 03:00:00
2822	15	2016-01-05 04:00:00
3493	14	2016-01-05 05:00:00
3823	11	2016-01-05 06:00:00
4816	10	2016-01-05 07:00:00
68	7	2016-01-05 08:00:00
976	0	2016-01-05 09:00:00
1204	1	2016-01-05 10:00:00
2291	1	2016-01-05 11:00:00
905	1	2016-01-05 12:00:00
2964	0	2016-01-05 13:00:00
1999	1	2016-01-05 14:00:00
1417	1	2016-01-05 15:00:00
657	0	2016-01-05 16:00:00
588	4	2016-01-05 17:00:00
4750	11	2016-01-05 18:00:00
4125	16	2016-01-05 19:00:00
3411	20	2016-01-05 20:00:00
2591	22	2016-01-05 21:00:00
2251	22	2016-01-05 22:00:00
1223	23	2016-01-05 23:00:00
4297	25	2016-01-06 00:00:00
1418	24	2016-01-06 01:00:00
795	24	2016-01-06 02:00:00
435	18	2016-01-06 03:00:00
4356	17	2016-01-06 04:00:00
3746	17	2016-01-06 05:00:00
3333	13	2016-01-06 06:00:00
2427	13	2016-01-06 07:00:00
2019	7	2016-01-06 08:00:00
1414	3	2016-01-06 09:00:00
658	2	2016-01-06 10:00:00
481	4	2016-01-06 11:00:00
4163	6	2016-01-06 12:00:00
2075	4	2016-01-06 13:00:00
2769	6	2016-01-06 14:00:00
3169	8	2016-01-06 15:00:00
4216	7	2016-01-06 16:00:00
4590	9	2016-01-06 17:00:00
77	11	2016-01-06 18:00:00
915	21	2016-01-06 19:00:00
1788	22	2016-01-06 20:00:00
1820	22	2016-01-06 21:00:00
2521	23	2016-01-06 22:00:00
3431	22	2016-01-06 23:00:00
4041	22	2016-01-07 00:00:00
1971	21	2016-01-07 01:00:00
278	20	2016-01-07 02:00:00
1014	20	2016-01-07 03:00:00
3643	20	2016-01-07 04:00:00
4643	21	2016-01-07 05:00:00
2638	20	2016-01-07 06:00:00
3010	18	2016-01-07 07:00:00
1364	9	2016-01-07 08:00:00
1803	4	2016-01-07 09:00:00
120	3	2016-01-07 10:00:00
606	3	2016-01-07 11:00:00
4394	1	2016-01-07 12:00:00
1560	3	2016-01-07 13:00:00
3199	3	2016-01-07 14:00:00
2562	7	2016-01-07 15:00:00
4346	9	2016-01-07 16:00:00
3967	13	2016-01-07 17:00:00
912	17	2016-01-07 18:00:00
467	22	2016-01-07 19:00:00
2207	19	2016-01-07 20:00:00
1707	24	2016-01-07 21:00:00
3594	26	2016-01-07 22:00:00
2816	28	2016-01-07 23:00:00
1138	29	2016-01-08 00:00:00
2770	27	2016-01-08 01:00:00
4415	28	2016-01-08 02:00:00
3966	27	2016-01-08 03:00:00
1169	27	2016-01-08 04:00:00
164	26	2016-01-08 05:00:00
1889	24	2016-01-08 06:00:00
1456	19	2016-01-08 07:00:00
3018	20	2016-01-08 08:00:00
2625	18	2016-01-08 09:00:00
4338	15	2016-01-08 10:00:00
3905	16	2016-01-08 11:00:00
2993	16	2016-01-08 12:00:00
860	19	2016-01-08 13:00:00
3739	19	2016-01-08 14:00:00
4506	25	2016-01-08 15:00:00
2597	26	2016-01-08 16:00:00
3561	30	2016-01-08 17:00:00
1260	32	2016-01-08 18:00:00
2365	33	2016-01-08 19:00:00
326	30	2016-01-08 20:00:00
745	31	2016-01-08 21:00:00
4140	31	2016-01-08 22:00:00
4484	29	2016-01-08 23:00:00
538	29	2016-01-09 00:00:00
3040	24	2016-01-09 01:00:00
3682	21	2016-01-09 02:00:00
4710	19	2016-01-09 03:00:00
76	19	2016-01-09 04:00:00
1044	19	2016-01-09 05:00:00
1625	19	2016-01-09 06:00:00
2237	19	2016-01-09 07:00:00
2925	20	2016-01-09 08:00:00
3265	21	2016-01-09 09:00:00
3894	21	2016-01-09 10:00:00
4561	18	2016-01-09 11:00:00
3445	17	2016-01-09 12:00:00
539	22	2016-01-09 13:00:00
4671	30	2016-01-09 14:00:00
3767	33	2016-01-09 15:00:00
3326	35	2016-01-09 16:00:00
2695	36	2016-01-09 17:00:00
2385	33	2016-01-09 18:00:00
1549	33	2016-01-09 19:00:00
1004	31	2016-01-09 20:00:00
300	30	2016-01-09 21:00:00
4510	29	2016-01-09 22:00:00
4130	28	2016-01-09 23:00:00
4021	26	2016-01-10 00:00:00
2006	23	2016-01-10 01:00:00
22	20	2016-01-10 02:00:00
994	19	2016-01-10 03:00:00
3627	20	2016-01-10 04:00:00
4622	20	2016-01-10 05:00:00
2619	20	2016-01-10 06:00:00
3605	20	2016-01-10 07:00:00
1403	20	2016-01-10 08:00:00
1903	17	2016-01-10 09:00:00
418	17	2016-01-10 10:00:00
777	19	2016-01-10 11:00:00
4657	21	2016-01-10 12:00:00
1735	23	2016-01-10 13:00:00
3468	26	2016-01-10 14:00:00
2543	30	2016-01-10 15:00:00
4439	25	2016-01-10 16:00:00
3708	19	2016-01-10 17:00:00
851	18	2016-01-10 18:00:00
482	19	2016-01-10 19:00:00
2093	17	2016-01-10 20:00:00
1371	14	2016-01-10 21:00:00
3252	14	2016-01-10 22:00:00
2792	15	2016-01-10 23:00:00
4384	16	2016-01-11 00:00:00
1780	17	2016-01-11 01:00:00
1148	17	2016-01-11 02:00:00
187	17	2016-01-11 03:00:00
4713	17	2016-01-11 04:00:00
3796	16	2016-01-11 05:00:00
3160	15	2016-01-11 06:00:00
2795	11	2016-01-11 07:00:00
2239	11	2016-01-11 08:00:00
1390	2	2016-01-11 09:00:00
755	1	2016-01-11 10:00:00
405	1	2016-01-11 11:00:00
3947	0	2016-01-11 12:00:00
2142	0	2016-01-11 13:00:00
2407	2	2016-01-11 14:00:00
3390	3	2016-01-11 15:00:00
4189	2	2016-01-11 16:00:00
4636	3	2016-01-11 17:00:00
360	3	2016-01-11 18:00:00
718	6	2016-01-11 19:00:00
1778	2	2016-01-11 20:00:00
2077	6	2016-01-11 21:00:00
2771	8	2016-01-11 22:00:00
3141	11	2016-01-11 23:00:00
2895	12	2016-01-12 00:00:00
858	14	2016-01-12 01:00:00
1744	14	2016-01-12 02:00:00
1861	12	2016-01-12 03:00:00
2491	11	2016-01-12 04:00:00
3383	10	2016-01-12 05:00:00
4102	9	2016-01-12 06:00:00
4487	7	2016-01-12 07:00:00
290	1	2016-01-12 08:00:00
650	0	2016-01-12 09:00:00
1690	2	2016-01-12 10:00:00
2267	4	2016-01-12 11:00:00
615	8	2016-01-12 12:00:00
2593	11	2016-01-12 13:00:00
2052	10	2016-01-12 14:00:00
1678	10	2016-01-12 15:00:00
982	15	2016-01-12 16:00:00
87	13	2016-01-12 17:00:00
4773	25	2016-01-12 18:00:00
3847	35	2016-01-12 19:00:00
3589	30	2016-01-12 20:00:00
2847	30	2016-01-12 21:00:00
2289	31	2016-01-12 22:00:00
1316	39	2016-01-12 23:00:00
3229	38	2016-01-13 00:00:00
