	DockID	Predicted	Expected	Predicted_Bin	Expected_Bin
0	322	9.79058867925	8.0	0.0	0.0
1	322	8.08244543949	6.0	0.0	0.0
2	322	6.1344826755	0.0	0.0	1.0
3	322	-0.0393267572027	2.0	1.0	1.0
4	322	2.70503940109	3.0	1.0	1.0
5	322	3.3104797039	3.0	1.0	1.0
6	322	3.28629685217	4.0	1.0	1.0
7	322	4.37606632057	3.0	1.0	1.0
8	322	3.0288685875	3.0	1.0	1.0
9	322	3.26007256683	3.0	1.0	1.0
10	322	3.23980261074	3.0	1.0	1.0
11	322	3.22525359074	3.0	1.0	1.0
12	322	3.26835175954	3.0	1.0	1.0
13	322	3.22869314846	2.0	1.0	1.0
14	322	2.19484606018	0.0	1.0	1.0
15	322	0.212034864678	0.0	1.0	1.0
16	322	0.388115357473	3.0	1.0	1.0
17	322	3.46550812204	4.0	1.0	1.0
18	322	4.22476622917	2.0	1.0	1.0
19	322	2.11451318094	7.0	1.0	0.0
20	322	7.4871291052	11.0	0.0	0.0
21	322	11.0599601356	11.0	0.0	0.0
22	322	10.8863998031	6.0	0.0	0.0
23	322	5.79115247423	0.0	0.0	1.0
24	322	-0.109138728779	6.0	1.0	0.0
25	322	6.76134183478	15.0	0.0	0.0
26	322	15.4553269013	21.0	0.0	0.0
27	322	20.9684106231	21.0	0.0	0.0
28	322	20.4460514677	19.0	0.0	0.0
29	322	18.3127027278	21.0	0.0	0.0
30	322	20.7861678518	24.0	0.0	0.0
31	322	23.8073109799	31.0	0.0	0.0
32	322	30.9605481284	28.0	0.0	0.0
33	322	27.0448654499	25.0	0.0	0.0
34	322	24.3590649286	25.0	0.0	0.0
35	322	24.6805160791	23.0	0.0	0.0
36	322	22.5146786254	18.0	0.0	0.0
37	322	17.667413082	18.0	0.0	0.0
38	322	18.0356204224	15.0	0.0	0.0
39	322	14.6977460967	9.0	0.0	0.0
40	322	8.79179104073	10.0	0.0	0.0
41	322	10.4138204283	11.0	0.0	0.0
42	322	11.0582211224	10.0	0.0	0.0
43	322	10.0232719649	11.0	0.0	0.0
44	322	11.1732702218	13.0	0.0	0.0
45	322	12.980026657	13.0	0.0	0.0
46	322	12.8845970309	13.0	0.0	0.0
47	322	12.9683515849	13.0	0.0	0.0
48	322	12.9131487964	13.0	0.0	0.0
49	322	12.9389423021	13.0	0.0	0.0
50	322	12.9855735182	13.0	0.0	0.0
51	322	12.9597270562	12.0	0.0	0.0
52	322	11.9115140176	11.0	0.0	0.0
53	322	10.9765189754	14.0	0.0	0.0
54	322	14.204103913	15.0	0.0	0.0
55	322	14.8840149821	15.0	0.0	0.0
56	322	14.8721462219	15.0	0.0	0.0
57	322	14.8752112226	14.0	0.0	0.0
58	322	13.7827310714	13.0	0.0	0.0
59	322	12.9419012011	11.0	0.0	0.0
60	322	10.9189225863	19.0	0.0	0.0
61	322	19.4868023665	22.0	0.0	0.0
62	322	21.6762746501	29.0	0.0	0.0
63	322	28.9080379206	30.0	0.0	0.0
64	322	29.2445812662	30.0	0.0	0.0
65	322	29.2025919337	30.0	0.0	0.0
66	322	29.4653620089	30.0	0.0	0.0
67	322	29.3922446961	30.0	0.0	0.0
68	322	29.5575281909	30.0	0.0	0.0
69	322	29.4958946785	30.0	0.0	0.0
70	322	29.4831434973	30.0	0.0	0.0
71	322	29.4837603153	30.0	0.0	0.0
72	322	29.4843855437	30.0	0.0	0.0
73	322	29.4849949053	14.0	0.0	0.0
74	322	12.6748651362	13.0	0.0	0.0
75	322	13.4231723633	21.0	0.0	0.0
76	322	21.5002682107	26.0	0.0	0.0
77	322	25.8133759488	29.0	0.0	0.0
78	322	28.7565353278	30.0	0.0	0.0
79	322	29.1169114287	28.0	0.0	0.0
80	322	27.0953108467	27.0	0.0	0.0
81	322	26.5428330354	20.0	0.0	0.0
82	322	19.2465525848	25.0	0.0	0.0
83	322	25.338654939	16.0	0.0	0.0
84	322	15.148135346	22.0	0.0	0.0
85	322	22.4478313991	15.0	0.0	0.0
86	322	14.4529344445	14.0	0.0	0.0
87	322	13.8635247261	12.0	0.0	0.0
88	322	12.1908102317	12.0	0.0	0.0
89	322	11.8731700963	12.0	0.0	0.0
90	322	12.2484843256	15.0	0.0	0.0
91	322	15.052151138	15.0	0.0	0.0
92	322	14.844232209	15.0	0.0	0.0
93	322	14.8272118857	15.0	0.0	0.0
94	322	14.8817403112	15.0	0.0	0.0
95	322	14.8416149297	17.0	0.0	0.0
96	322	17.0316123848	12.0	0.0	0.0
97	322	11.57925956	8.0	0.0	0.0
98	322	7.93377193737	8.0	0.0	0.0
99	322	8.28717740925	12.0	0.0	0.0
100	322	12.3375248091	11.0	0.0	0.0
101	322	10.9855473363	14.0	0.0	0.0
102	322	14.1244288137	20.0	0.0	0.0
103	322	20.0378361374	18.0	0.0	0.0
104	322	17.3669095686	20.0	0.0	0.0
105	322	19.9208336474	21.0	0.0	0.0
106	322	20.6482113455	17.0	0.0	0.0
107	322	16.427460101	17.0	0.0	0.0
108	322	17.0584180229	17.0	0.0	0.0
109	322	16.8232788155	17.0	0.0	0.0
110	322	16.8860231873	17.0	0.0	0.0
111	322	16.9479613235	17.0	0.0	0.0
112	322	16.7925954605	17.0	0.0	0.0
113	322	16.8463847328	17.0	0.0	0.0
114	322	16.8464283659	17.0	0.0	0.0
115	322	16.8464764398	17.0	0.0	0.0
116	322	16.8465186517	16.0	0.0	0.0
117	322	15.8043505568	14.0	0.0	0.0
118	322	13.8206031033	11.0	0.0	0.0
119	322	10.8790803227	16.0	0.0	0.0
120	322	16.3563697588	23.0	0.0	0.0
121	322	23.1091140121	20.0	0.0	0.0
122	322	19.3085054534	21.0	0.0	0.0
123	322	20.7909907561	17.0	0.0	0.0
124	322	16.3613570076	21.0	0.0	0.0
125	322	21.0610096942	16.0	0.0	0.0
126	322	15.6222736402	13.0	0.0	0.0
127	322	12.8152264785	11.0	0.0	0.0
128	322	11.1194803198	11.0	0.0	0.0
129	322	11.0328597191	11.0	0.0	0.0
130	322	11.2292871924	11.0	0.0	0.0
131	322	11.0442383667	12.0	0.0	0.0
132	322	12.0716928833	11.0	0.0	0.0
133	322	10.8988612641	11.0	0.0	0.0
134	322	11.0330430408	11.0	0.0	0.0
135	322	11.0289249325	10.0	0.0	0.0
136	322	9.96515923052	9.0	0.0	0.0
137	322	9.07057147043	11.0	0.0	0.0
138	322	11.193838782	14.0	0.0	0.0
139	322	14.107683389	16.0	0.0	0.0
140	322	15.9238506973	20.0	0.0	0.0
141	322	19.9306452373	24.0	0.0	0.0
142	322	23.7058407801	22.0	0.0	0.0
143	322	21.3210501835	16.0	0.0	0.0
144	322	15.3930765572	18.0	0.0	0.0
145	322	18.071158258	28.0	0.0	0.0
146	322	28.2576348383	19.0	0.0	0.0
147	322	17.9316585492	12.0	0.0	0.0
148	322	11.7829293159	9.0	0.0	0.0
149	322	9.11774280589	9.0	0.0	0.0
150	322	9.13271027691	10.0	0.0	0.0
151	322	10.4853274743	10.0	0.0	0.0
