	avail_bikes	timestamp
329	13	2016-01-01 00:00:00
3512	13	2016-01-01 01:00:00
4144	13	2016-01-01 02:00:00
4534	13	2016-01-01 03:00:00
531	13	2016-01-01 04:00:00
906	13	2016-01-01 05:00:00
1521	13	2016-01-01 06:00:00
2363	13	2016-01-01 07:00:00
2930	13	2016-01-01 08:00:00
3300	13	2016-01-01 09:00:00
3927	13	2016-01-01 10:00:00
4521	13	2016-01-01 11:00:00
3166	12	2016-01-01 12:00:00
572	12	2016-01-01 13:00:00
4249	11	2016-01-01 14:00:00
3877	9	2016-01-01 15:00:00
3539	7	2016-01-01 16:00:00
2629	6	2016-01-01 17:00:00
2009	6	2016-01-01 18:00:00
1561	5	2016-01-01 19:00:00
657	5	2016-01-01 20:00:00
208	5	2016-01-01 21:00:00
4225	5	2016-01-01 22:00:00
3777	5	2016-01-01 23:00:00
2025	5	2016-01-02 00:00:00
3723	5	2016-01-02 01:00:00
3461	5	2016-01-02 02:00:00
2500	5	2016-01-02 03:00:00
2127	5	2016-01-02 04:00:00
1272	5	2016-01-02 05:00:00
852	5	2016-01-02 06:00:00
210	5	2016-01-02 07:00:00
4246	5	2016-01-02 08:00:00
3709	5	2016-01-02 09:00:00
3363	5	2016-01-02 10:00:00
2418	5	2016-01-02 11:00:00
1602	5	2016-01-02 12:00:00
4639	5	2016-01-02 13:00:00
399	4	2016-01-02 14:00:00
764	5	2016-01-02 15:00:00
1390	5	2016-01-02 16:00:00
1858	5	2016-01-02 17:00:00
2721	6	2016-01-02 18:00:00
3542	4	2016-01-02 19:00:00
3619	4	2016-01-02 20:00:00
4243	3	2016-01-02 21:00:00
142	3	2016-01-02 22:00:00
754	3	2016-01-02 23:00:00
1474	6	2016-01-03 00:00:00
4687	6	2016-01-03 01:00:00
2558	5	2016-01-03 02:00:00
3560	5	2016-01-03 03:00:00
1327	5	2016-01-03 04:00:00
2287	5	2016-01-03 05:00:00
427	5	2016-01-03 06:00:00
1055	5	2016-01-03 07:00:00
3994	5	2016-01-03 08:00:00
4408	3	2016-01-03 09:00:00
2825	1	2016-01-03 10:00:00
3113	0	2016-01-03 11:00:00
2137	0	2016-01-03 12:00:00
3861	0	2016-01-03 13:00:00
1123	0	2016-01-03 14:00:00
423	0	2016-01-03 15:00:00
2367	1	2016-01-03 16:00:00
1417	11	2016-01-03 17:00:00
3185	13	2016-01-03 18:00:00
2465	13	2016-01-03 19:00:00
4695	13	2016-01-03 20:00:00
4145	13	2016-01-03 21:00:00
1011	13	2016-01-03 22:00:00
62	13	2016-01-03 23:00:00
3479	13	2016-01-04 00:00:00
12	13	2016-01-04 01:00:00
2114	13	2016-01-04 02:00:00
1596	13	2016-01-04 03:00:00
3069	13	2016-01-04 04:00:00
2435	13	2016-01-04 05:00:00
4245	13	2016-01-04 06:00:00
4079	13	2016-01-04 07:00:00
1178	13	2016-01-04 08:00:00
205	12	2016-01-04 09:00:00
2244	12	2016-01-04 10:00:00
1610	12	2016-01-04 11:00:00
589	12	2016-01-04 12:00:00
3578	11	2016-01-04 13:00:00
1264	11	2016-01-04 14:00:00
1892	11	2016-01-04 15:00:00
4768	14	2016-01-04 19:00:00
2718	13	2016-01-04 20:00:00
3355	12	2016-01-04 21:00:00
1574	12	2016-01-04 22:00:00
2330	13	2016-01-04 23:00:00
2602	13	2016-01-05 00:00:00
1102	13	2016-01-05 01:00:00
1253	13	2016-01-05 02:00:00
2191	13	2016-01-05 03:00:00
2482	13	2016-01-05 04:00:00
3453	13	2016-01-05 05:00:00
4100	13	2016-01-05 06:00:00
4816	13	2016-01-05 07:00:00
67	11	2016-01-05 08:00:00
979	9	2016-01-05 09:00:00
1205	9	2016-01-05 10:00:00
2274	10	2016-01-05 11:00:00
907	10	2016-01-05 12:00:00
2601	10	2016-01-05 13:00:00
1999	9	2016-01-05 14:00:00
1423	9	2016-01-05 15:00:00
659	8	2016-01-05 16:00:00
292	8	2016-01-05 17:00:00
4754	8	2016-01-05 18:00:00
4127	9	2016-01-05 19:00:00
3403	10	2016-01-05 20:00:00
2590	9	2016-01-05 21:00:00
2247	9	2016-01-05 22:00:00
1601	9	2016-01-05 23:00:00
4641	9	2016-01-06 00:00:00
1568	9	2016-01-06 01:00:00
606	9	2016-01-06 02:00:00
436	9	2016-01-06 03:00:00
