	avail_bikes	timestamp
331	38	2016-01-01 00:00:00
3511	37	2016-01-01 01:00:00
4146	35	2016-01-01 02:00:00
4523	35	2016-01-01 03:00:00
534	34	2016-01-01 04:00:00
904	34	2016-01-01 05:00:00
1528	35	2016-01-01 06:00:00
1848	35	2016-01-01 07:00:00
2929	35	2016-01-01 08:00:00
3299	37	2016-01-01 09:00:00
3932	35	2016-01-01 10:00:00
4509	34	2016-01-01 11:00:00
3167	34	2016-01-01 12:00:00
574	37	2016-01-01 13:00:00
4249	38	2016-01-01 14:00:00
3880	37	2016-01-01 15:00:00
3539	37	2016-01-01 16:00:00
2626	35	2016-01-01 17:00:00
2010	36	2016-01-01 18:00:00
1566	37	2016-01-01 19:00:00
658	17	2016-01-01 20:00:00
201	17	2016-01-01 21:00:00
4483	16	2016-01-01 22:00:00
3783	12	2016-01-01 23:00:00
2185	12	2016-01-02 00:00:00
3824	10	2016-01-02 01:00:00
3462	9	2016-01-02 02:00:00
2526	9	2016-01-02 03:00:00
2135	9	2016-01-02 04:00:00
1511	9	2016-01-02 05:00:00
850	8	2016-01-02 06:00:00
202	7	2016-01-02 07:00:00
4247	8	2016-01-02 08:00:00
4033	8	2016-01-02 09:00:00
3359	6	2016-01-02 10:00:00
2421	5	2016-01-02 11:00:00
1610	8	2016-01-02 12:00:00
4628	7	2016-01-02 13:00:00
377	9	2016-01-02 14:00:00
760	11	2016-01-02 15:00:00
1392	8	2016-01-02 16:00:00
1861	6	2016-01-02 17:00:00
2717	7	2016-01-02 18:00:00
3446	7	2016-01-02 19:00:00
3833	11	2016-01-02 20:00:00
4245	5	2016-01-02 21:00:00
585	4	2016-01-02 22:00:00
1125	3	2016-01-02 23:00:00
1478	4	2016-01-03 00:00:00
4503	2	2016-01-03 01:00:00
2893	2	2016-01-03 02:00:00
3559	1	2016-01-03 03:00:00
1326	1	2016-01-03 04:00:00
2070	1	2016-01-03 05:00:00
426	1	2016-01-03 06:00:00
1055	1	2016-01-03 07:00:00
3663	2	2016-01-03 08:00:00
4381	2	2016-01-03 09:00:00
