	avail_bikes	timestamp
328	1	2016-01-01 00:00:00
3509	4	2016-01-01 01:00:00
4143	3	2016-01-01 02:00:00
4534	3	2016-01-01 03:00:00
537	3	2016-01-01 04:00:00
906	3	2016-01-01 05:00:00
1520	3	2016-01-01 06:00:00
2364	3	2016-01-01 07:00:00
2556	3	2016-01-01 08:00:00
3309	3	2016-01-01 09:00:00
3930	2	2016-01-01 10:00:00
4522	0	2016-01-01 11:00:00
3175	2	2016-01-01 12:00:00
573	1	2016-01-01 13:00:00
4249	1	2016-01-01 14:00:00
3878	2	2016-01-01 15:00:00
3538	3	2016-01-01 16:00:00
2632	4	2016-01-01 17:00:00
2006	4	2016-01-01 18:00:00
1618	5	2016-01-01 19:00:00
654	3	2016-01-01 20:00:00
211	4	2016-01-01 21:00:00
4226	4	2016-01-01 22:00:00
3780	4	2016-01-01 23:00:00
2024	4	2016-01-02 00:00:00
3725	4	2016-01-02 01:00:00
3280	4	2016-01-02 02:00:00
2531	4	2016-01-02 03:00:00
2125	4	2016-01-02 04:00:00
1505	4	2016-01-02 05:00:00
850	3	2016-01-02 06:00:00
212	3	2016-01-02 07:00:00
4245	3	2016-01-02 08:00:00
3711	4	2016-01-02 09:00:00
3055	5	2016-01-02 10:00:00
2402	6	2016-01-02 11:00:00
1604	12	2016-01-02 12:00:00
4637	9	2016-01-02 13:00:00
377	12	2016-01-02 14:00:00
760	13	2016-01-02 15:00:00
1389	12	2016-01-02 16:00:00
1858	11	2016-01-02 17:00:00
2574	13	2016-01-02 18:00:00
3287	9	2016-01-02 19:00:00
3620	9	2016-01-02 20:00:00
4243	9	2016-01-02 21:00:00
422	9	2016-01-02 22:00:00
1123	8	2016-01-02 23:00:00
1471	8	2016-01-03 00:00:00
4516	9	2016-01-03 01:00:00
2564	9	2016-01-03 02:00:00
3339	9	2016-01-03 03:00:00
1324	9	2016-01-03 04:00:00
2282	9	2016-01-03 05:00:00
427	9	2016-01-03 06:00:00
1059	10	2016-01-03 07:00:00
3997	10	2016-01-03 08:00:00
4387	12	2016-01-03 09:00:00
2803	11	2016-01-03 10:00:00
3460	10	2016-01-03 11:00:00
2150	13	2016-01-03 12:00:00
3863	11	2016-01-03 13:00:00
868	14	2016-01-03 14:00:00
150	13	2016-01-03 15:00:00
2368	10	2016-01-03 16:00:00
1415	11	2016-01-03 17:00:00
3030	13	2016-01-03 18:00:00
2879	15	2016-01-03 19:00:00
4289	15	2016-01-03 20:00:00
4144	15	2016-01-03 21:00:00
1015	15	2016-01-03 22:00:00
60	15	2016-01-03 23:00:00
3492	15	2016-01-04 00:00:00
8	16	2016-01-04 01:00:00
2113	16	2016-01-04 02:00:00
1599	16	2016-01-04 03:00:00
3589	16	2016-01-04 04:00:00
2439	16	2016-01-04 05:00:00
4244	15	2016-01-04 06:00:00
4081	17	2016-01-04 07:00:00
1102	20	2016-01-04 08:00:00
122	18	2016-01-04 09:00:00
2237	24	2016-01-04 10:00:00
1613	24	2016-01-04 11:00:00
589	23	2016-01-04 12:00:00
3140	25	2016-01-04 13:00:00
1269	21	2016-01-04 14:00:00
1894	19	2016-01-04 15:00:00
4762	28	2016-01-04 19:00:00
2950	27	2016-01-04 20:00:00
3285	27	2016-01-04 21:00:00
1575	27	2016-01-04 22:00:00
2329	27	2016-01-04 23:00:00
2458	28	2016-01-05 00:00:00
966	27	2016-01-05 01:00:00
1280	27	2016-01-05 02:00:00
1909	27	2016-01-05 03:00:00
2487	27	2016-01-05 04:00:00
3189	27	2016-01-05 05:00:00
4100	28	2016-01-05 06:00:00
4814	28	2016-01-05 07:00:00
594	26	2016-01-05 08:00:00
983	26	2016-01-05 09:00:00
1204	27	2016-01-05 10:00:00
2268	13	2016-01-05 11:00:00
617	12	2016-01-05 12:00:00
2605	11	2016-01-05 13:00:00
2247	9	2016-01-05 14:00:00
1420	8	2016-01-05 15:00:00
982	8	2016-01-05 16:00:00
294	9	2016-01-05 17:00:00
4747	13	2016-01-05 18:00:00
4127	14	2016-01-05 19:00:00
3574	18	2016-01-05 20:00:00
2592	15	2016-01-05 21:00:00
2243	14	2016-01-05 22:00:00
1225	14	2016-01-05 23:00:00
4639	15	2016-01-06 00:00:00
1422	15	2016-01-06 01:00:00
799	14	2016-01-06 02:00:00
392	14	2016-01-06 03:00:00
