	avail_bikes	timestamp
327	26	2016-01-01 00:00:00
3507	22	2016-01-01 01:00:00
4140	21	2016-01-01 02:00:00
4527	18	2016-01-01 03:00:00
530	19	2016-01-01 04:00:00
902	19	2016-01-01 05:00:00
1515	19	2016-01-01 06:00:00
2218	20	2016-01-01 07:00:00
2425	23	2016-01-01 08:00:00
3307	19	2016-01-01 09:00:00
3929	16	2016-01-01 10:00:00
4513	16	2016-01-01 11:00:00
3176	21	2016-01-01 12:00:00
570	12	2016-01-01 13:00:00
4250	10	2016-01-01 14:00:00
3879	8	2016-01-01 15:00:00
3532	10	2016-01-01 16:00:00
2605	9	2016-01-01 17:00:00
2006	21	2016-01-01 18:00:00
1559	15	2016-01-01 19:00:00
653	14	2016-01-01 20:00:00
209	16	2016-01-01 21:00:00
4225	19	2016-01-01 22:00:00
3784	23	2016-01-01 23:00:00
2026	24	2016-01-02 00:00:00
3822	23	2016-01-02 01:00:00
3464	22	2016-01-02 02:00:00
2429	22	2016-01-02 03:00:00
2127	22	2016-01-02 04:00:00
1210	22	2016-01-02 05:00:00
892	22	2016-01-02 06:00:00
129	22	2016-01-02 07:00:00
4248	16	2016-01-02 08:00:00
4027	15	2016-01-02 09:00:00
3366	15	2016-01-02 10:00:00
2403	8	2016-01-02 11:00:00
1601	8	2016-01-02 12:00:00
4630	11	2016-01-02 13:00:00
375	11	2016-01-02 14:00:00
690	7	2016-01-02 15:00:00
1729	5	2016-01-02 16:00:00
1859	15	2016-01-02 17:00:00
2575	17	2016-01-02 18:00:00
3536	19	2016-01-02 19:00:00
3831	19	2016-01-02 20:00:00
4245	20	2016-01-02 21:00:00
99	20	2016-01-02 22:00:00
601	17	2016-01-02 23:00:00
1270	19	2016-01-03 00:00:00
4508	19	2016-01-03 01:00:00
2563	18	2016-01-03 02:00:00
3555	16	2016-01-03 03:00:00
1413	16	2016-01-03 04:00:00
2286	16	2016-01-03 05:00:00
176	15	2016-01-03 06:00:00
943	15	2016-01-03 07:00:00
3665	12	2016-01-03 08:00:00
4402	12	2016-01-03 09:00:00
2806	14	2016-01-03 10:00:00
3119	15	2016-01-03 11:00:00
2136	14	2016-01-03 12:00:00
3649	19	2016-01-03 13:00:00
865	20	2016-01-03 14:00:00
282	20	2016-01-03 15:00:00
2367	26	2016-01-03 16:00:00
1739	29	2016-01-03 17:00:00
3591	32	2016-01-03 18:00:00
2883	31	2016-01-03 19:00:00
4689	20	2016-01-03 20:00:00
4077	21	2016-01-03 21:00:00
648	24	2016-01-03 22:00:00
32	24	2016-01-03 23:00:00
3478	23	2016-01-04 00:00:00
10	22	2016-01-04 01:00:00
2115	22	2016-01-04 02:00:00
1595	22	2016-01-04 03:00:00
3073	22	2016-01-04 04:00:00
2437	21	2016-01-04 05:00:00
4247	19	2016-01-04 06:00:00
