	avail_bikes	timestamp
328	42	2016-01-01 00:00:00
3510	46	2016-01-01 01:00:00
4141	46	2016-01-01 02:00:00
4535	46	2016-01-01 03:00:00
536	46	2016-01-01 04:00:00
909	46	2016-01-01 05:00:00
1521	45	2016-01-01 06:00:00
2364	46	2016-01-01 07:00:00
2931	46	2016-01-01 08:00:00
3306	47	2016-01-01 09:00:00
3930	51	2016-01-01 10:00:00
4522	49	2016-01-01 11:00:00
3173	49	2016-01-01 12:00:00
575	46	2016-01-01 13:00:00
4251	52	2016-01-01 14:00:00
3880	54	2016-01-01 15:00:00
3540	57	2016-01-01 16:00:00
2603	57	2016-01-01 17:00:00
1999	54	2016-01-01 18:00:00
1563	51	2016-01-01 19:00:00
652	54	2016-01-01 20:00:00
205	54	2016-01-01 21:00:00
4225	53	2016-01-01 22:00:00
3783	51	2016-01-01 23:00:00
2021	50	2016-01-02 00:00:00
3823	50	2016-01-02 01:00:00
3463	51	2016-01-02 02:00:00
2828	51	2016-01-02 03:00:00
2117	51	2016-01-02 04:00:00
1211	52	2016-01-02 05:00:00
849	50	2016-01-02 06:00:00
130	48	2016-01-02 07:00:00
4250	46	2016-01-02 08:00:00
4035	41	2016-01-02 09:00:00
3363	41	2016-01-02 10:00:00
2557	40	2016-01-02 11:00:00
1739	35	2016-01-02 12:00:00
4642	35	2016-01-02 13:00:00
374	37	2016-01-02 14:00:00
1023	38	2016-01-02 15:00:00
1732	38	2016-01-02 16:00:00
1855	42	2016-01-02 17:00:00
2517	44	2016-01-02 18:00:00
3450	45	2016-01-02 19:00:00
3833	47	2016-01-02 20:00:00
4247	46	2016-01-02 21:00:00
586	46	2016-01-02 22:00:00
1128	44	2016-01-02 23:00:00
1276	44	2016-01-03 00:00:00
4516	48	2016-01-03 01:00:00
2900	51	2016-01-03 02:00:00
3559	51	2016-01-03 03:00:00
1423	51	2016-01-03 04:00:00
2285	50	2016-01-03 05:00:00
169	48	2016-01-03 06:00:00
1065	47	2016-01-03 07:00:00
3665	47	2016-01-03 08:00:00
4388	46	2016-01-03 09:00:00
2498	43	2016-01-03 10:00:00
3120	43	2016-01-03 11:00:00
2129	44	2016-01-03 12:00:00
3650	40	2016-01-03 13:00:00
868	44	2016-01-03 14:00:00
418	40	2016-01-03 15:00:00
2368	39	2016-01-03 16:00:00
1482	36	2016-01-03 17:00:00
3091	38	2016-01-03 18:00:00
2467	39	2016-01-03 19:00:00
4292	35	2016-01-03 20:00:00
4081	34	2016-01-03 21:00:00
647	33	2016-01-03 22:00:00
31	33	2016-01-03 23:00:00
3477	33	2016-01-04 00:00:00
10	34	2016-01-04 01:00:00
2105	34	2016-01-04 02:00:00
1597	34	2016-01-04 03:00:00
3076	34	2016-01-04 04:00:00
