	avail_bikes	timestamp
335	16	2016-01-01 00:00:00
3512	16	2016-01-01 01:00:00
4142	16	2016-01-01 02:00:00
4532	16	2016-01-01 03:00:00
539	16	2016-01-01 04:00:00
909	16	2016-01-01 05:00:00
1523	15	2016-01-01 06:00:00
2362	15	2016-01-01 07:00:00
2933	15	2016-01-01 08:00:00
3313	15	2016-01-01 09:00:00
3935	16	2016-01-01 10:00:00
4518	15	2016-01-01 11:00:00
3177	12	2016-01-01 12:00:00
577	8	2016-01-01 13:00:00
4250	8	2016-01-01 14:00:00
3882	10	2016-01-01 15:00:00
3536	8	2016-01-01 16:00:00
2622	9	2016-01-01 17:00:00
2009	9	2016-01-01 18:00:00
1564	9	2016-01-01 19:00:00
654	9	2016-01-01 20:00:00
213	11	2016-01-01 21:00:00
4492	10	2016-01-01 22:00:00
3784	10	2016-01-01 23:00:00
2029	10	2016-01-02 00:00:00
3727	10	2016-01-02 01:00:00
3288	10	2016-01-02 02:00:00
2519	10	2016-01-02 03:00:00
2126	10	2016-01-02 04:00:00
1210	10	2016-01-02 05:00:00
897	9	2016-01-02 06:00:00
214	7	2016-01-02 07:00:00
4692	7	2016-01-02 08:00:00
4036	9	2016-01-02 09:00:00
3345	8	2016-01-02 10:00:00
2402	7	2016-01-02 11:00:00
1606	9	2016-01-02 12:00:00
4610	8	2016-01-02 13:00:00
383	7	2016-01-02 14:00:00
1024	5	2016-01-02 15:00:00
1728	5	2016-01-02 16:00:00
1863	5	2016-01-02 17:00:00
2512	4	2016-01-02 18:00:00
3456	4	2016-01-02 19:00:00
3621	5	2016-01-02 20:00:00
4352	7	2016-01-02 21:00:00
426	7	2016-01-02 22:00:00
754	11	2016-01-02 23:00:00
1272	11	2016-01-03 00:00:00
4513	11	2016-01-03 01:00:00
2552	11	2016-01-03 02:00:00
3054	11	2016-01-03 03:00:00
1420	11	2016-01-03 04:00:00
2284	11	2016-01-03 05:00:00
430	10	2016-01-03 06:00:00
951	10	2016-01-03 07:00:00
3998	9	2016-01-03 08:00:00
4397	8	2016-01-03 09:00:00
2801	9	2016-01-03 10:00:00
3464	8	2016-01-03 11:00:00
