	avail_bikes	timestamp
326	20	2016-01-01 00:00:00
3503	20	2016-01-01 01:00:00
4143	20	2016-01-01 02:00:00
4532	20	2016-01-01 03:00:00
531	20	2016-01-01 04:00:00
911	20	2016-01-01 05:00:00
1524	20	2016-01-01 06:00:00
2361	20	2016-01-01 07:00:00
2930	20	2016-01-01 08:00:00
3301	20	2016-01-01 09:00:00
3928	20	2016-01-01 10:00:00
4518	18	2016-01-01 11:00:00
3175	18	2016-01-01 12:00:00
571	18	2016-01-01 13:00:00
4805	18	2016-01-01 14:00:00
3879	18	2016-01-01 15:00:00
3533	18	2016-01-01 16:00:00
2628	19	2016-01-01 17:00:00
2003	19	2016-01-01 18:00:00
1562	19	2016-01-01 19:00:00
656	19	2016-01-01 20:00:00
209	18	2016-01-01 21:00:00
4490	18	2016-01-01 22:00:00
3782	18	2016-01-01 23:00:00
2022	18	2016-01-02 00:00:00
3721	18	2016-01-02 01:00:00
3277	18	2016-01-02 02:00:00
2502	22	2016-01-02 03:00:00
2122	22	2016-01-02 04:00:00
1211	22	2016-01-02 05:00:00
855	22	2016-01-02 06:00:00
130	22	2016-01-02 07:00:00
4687	22	2016-01-02 08:00:00
3707	22	2016-01-02 09:00:00
3334	23	2016-01-02 10:00:00
2559	20	2016-01-02 11:00:00
1600	20	2016-01-02 12:00:00
4637	18	2016-01-02 13:00:00
370	18	2016-01-02 14:00:00
761	17	2016-01-02 15:00:00
1393	17	2016-01-02 16:00:00
1860	17	2016-01-02 17:00:00
2719	16	2016-01-02 18:00:00
3442	15	2016-01-02 19:00:00
3621	15	2016-01-02 20:00:00
4353	15	2016-01-02 21:00:00
98	15	2016-01-02 22:00:00
1122	13	2016-01-02 23:00:00
1274	13	2016-01-03 00:00:00
4513	13	2016-01-03 01:00:00
2421	13	2016-01-03 02:00:00
3052	13	2016-01-03 03:00:00
1421	13	2016-01-03 04:00:00
2281	13	2016-01-03 05:00:00
175	13	2016-01-03 06:00:00
1062	13	2016-01-03 07:00:00
3998	13	2016-01-03 08:00:00
4404	14	2016-01-03 09:00:00
2823	14	2016-01-03 10:00:00
3449	13	2016-01-03 11:00:00
2132	14	2016-01-03 12:00:00
3863	14	2016-01-03 13:00:00
753	15	2016-01-03 14:00:00
61	15	2016-01-03 15:00:00
2365	15	2016-01-03 16:00:00
1418	15	2016-01-03 17:00:00
3031	16	2016-01-03 18:00:00
2467	16	2016-01-03 19:00:00
4694	16	2016-01-03 20:00:00
4144	16	2016-01-03 21:00:00
1022	16	2016-01-03 22:00:00
27	16	2016-01-03 23:00:00
3469	16	2016-01-04 00:00:00
8	16	2016-01-04 01:00:00
2110	16	2016-01-04 02:00:00
1595	16	2016-01-04 03:00:00
3072	16	2016-01-04 04:00:00
2438	16	2016-01-04 05:00:00
4246	16	2016-01-04 06:00:00
4079	16	2016-01-04 07:00:00
698	20	2016-01-04 08:00:00
419	27	2016-01-04 09:00:00
2236	27	2016-01-04 10:00:00
1608	27	2016-01-04 11:00:00
455	26	2016-01-04 12:00:00
3573	26	2016-01-04 13:00:00
1266	26	2016-01-04 14:00:00
1891	25	2016-01-04 15:00:00
4819	15	2016-01-04 19:00:00
2717	15	2016-01-04 20:00:00
3281	15	2016-01-04 21:00:00
1576	15	2016-01-04 22:00:00
2324	15	2016-01-04 23:00:00
2601	15	2016-01-05 00:00:00
1177	15	2016-01-05 01:00:00
1256	16	2016-01-05 02:00:00
1905	16	2016-01-05 03:00:00
2820	16	2016-01-05 04:00:00
3189	16	2016-01-05 05:00:00
4098	16	2016-01-05 06:00:00
4816	17	2016-01-05 07:00:00
594	18	2016-01-05 08:00:00
990	19	2016-01-05 09:00:00
1206	21	2016-01-05 10:00:00
2268	22	2016-01-05 11:00:00
617	23	2016-01-05 12:00:00
2961	22	2016-01-05 13:00:00
1994	23	2016-01-05 14:00:00
1423	22	2016-01-05 15:00:00
989	20	2016-01-05 16:00:00
289	15	2016-01-05 17:00:00
4510	13	2016-01-05 18:00:00
4126	12	2016-01-05 19:00:00
3401	11	2016-01-05 20:00:00
2590	11	2016-01-05 21:00:00
2240	12	2016-01-05 22:00:00
1225	11	2016-01-05 23:00:00
4294	10	2016-01-06 00:00:00
1372	10	2016-01-06 01:00:00
801	10	2016-01-06 02:00:00
384	10	2016-01-06 03:00:00
4355	10	2016-01-06 04:00:00
4136	11	2016-01-06 05:00:00
3137	11	2016-01-06 06:00:00
2426	13	2016-01-06 07:00:00
2155	16	2016-01-06 08:00:00
1633	21	2016-01-06 09:00:00
659	21	2016-01-06 10:00:00
478	23	2016-01-06 11:00:00
3964	23	2016-01-06 12:00:00
1985	22	2016-01-06 13:00:00
2769	22	2016-01-06 14:00:00
3057	19	2016-01-06 15:00:00
4017	18	2016-01-06 16:00:00
4594	17	2016-01-06 17:00:00
255	12	2016-01-06 18:00:00
1143	12	2016-01-06 19:00:00
1564	11	2016-01-06 20:00:00
2185	11	2016-01-06 21:00:00
2556	11	2016-01-06 22:00:00
3421	10	2016-01-06 23:00:00
3793	10	2016-01-07 00:00:00
1970	13	2016-01-07 01:00:00
148	12	2016-01-07 02:00:00
1026	12	2016-01-07 03:00:00
3648	12	2016-01-07 04:00:00
4639	11	2016-01-07 05:00:00
2635	11	2016-01-07 06:00:00
3010	12	2016-01-07 07:00:00
1426	16	2016-01-07 08:00:00
1842	23	2016-01-07 09:00:00
120	25	2016-01-07 10:00:00
607	24	2016-01-07 11:00:00
4602	22	2016-01-07 12:00:00
1462	23	2016-01-07 13:00:00
3096	24	2016-01-07 14:00:00
2517	22	2016-01-07 15:00:00
4744	20	2016-01-07 16:00:00
4212	14	2016-01-07 17:00:00
662	14	2016-01-07 18:00:00
106	13	2016-01-07 19:00:00
2388	12	2016-01-07 20:00:00
1218	12	2016-01-07 21:00:00
3591	12	2016-01-07 22:00:00
2814	12	2016-01-07 23:00:00
1186	12	2016-01-08 00:00:00
2770	12	2016-01-08 01:00:00
4230	12	2016-01-08 02:00:00
3945	12	2016-01-08 03:00:00
1168	12	2016-01-08 04:00:00
249	12	2016-01-08 05:00:00
1892	13	2016-01-08 06:00:00
1463	13	2016-01-08 07:00:00
3532	14	2016-01-08 08:00:00
2623	21	2016-01-08 09:00:00
4336	26	2016-01-08 10:00:00
3900	26	2016-01-08 11:00:00
2993	27	2016-01-08 12:00:00
868	28	2016-01-08 13:00:00
3739	28	2016-01-08 14:00:00
4506	30	2016-01-08 15:00:00
2619	27	2016-01-08 16:00:00
3559	26	2016-01-08 17:00:00
1265	23	2016-01-08 18:00:00
2364	23	2016-01-08 19:00:00
497	23	2016-01-08 20:00:00
650	23	2016-01-08 21:00:00
4142	23	2016-01-08 22:00:00
4483	23	2016-01-08 23:00:00
512	23	2016-01-09 00:00:00
3038	23	2016-01-09 01:00:00
4166	23	2016-01-09 02:00:00
4608	23	2016-01-09 03:00:00
74	23	2016-01-09 04:00:00
1051	23	2016-01-09 05:00:00
1344	23	2016-01-09 06:00:00
2228	23	2016-01-09 07:00:00
2888	23	2016-01-09 08:00:00
3257	23	2016-01-09 09:00:00
3955	23	2016-01-09 10:00:00
4276	23	2016-01-09 11:00:00
3182	24	2016-01-09 12:00:00
82	23	2016-01-09 13:00:00
4672	21	2016-01-09 14:00:00
3714	23	2016-01-09 15:00:00
3319	24	2016-01-09 16:00:00
2693	23	2016-01-09 17:00:00
1820	22	2016-01-09 18:00:00
1583	22	2016-01-09 19:00:00
664	22	2016-01-09 20:00:00
446	22	2016-01-09 21:00:00
4511	22	2016-01-09 22:00:00
3936	21	2016-01-09 23:00:00
4024	21	2016-01-10 00:00:00
2257	21	2016-01-10 01:00:00
19	21	2016-01-10 02:00:00
1142	21	2016-01-10 03:00:00
