	DockID	Predicted	Expected	Predicted_Bin	Expected_Bin
0	152	2.16213822931	1.0	1.0	1.0
1	152	1.99587689721	0.0	1.0	1.0
2	152	0.865518343628	1.0	1.0	1.0
3	152	2.08727512168	0.0	1.0	1.0
4	152	0.818285136118	0.0	1.0	1.0
5	152	0.984280247301	0.0	1.0	1.0
6	152	0.948799925187	0.0	1.0	1.0
7	152	0.968369111877	0.0	1.0	1.0
8	152	0.957069131126	0.0	1.0	1.0
9	152	0.945971824972	0.0	1.0	1.0
10	152	0.935069029292	0.0	1.0	1.0
11	152	0.924352583348	1.0	1.0	1.0
12	152	2.02462046601	1.0	1.0	1.0
13	152	1.86114744455	2.0	1.0	1.0
14	152	2.9552022467	6.0	1.0	0.0
15	152	7.2046740489	9.0	0.0	0.0
16	152	9.90869887373	10.0	0.0	0.0
17	152	10.4950786175	12.0	0.0	0.0
18	152	12.4157149898	16.0	0.0	0.0
19	152	16.4501999973	18.0	0.0	0.0
20	152	18.0141312473	10.0	0.0	0.0
21	152	8.73585937763	10.0	0.0	0.0
22	152	9.83382312162	1.0	0.0	1.0
23	152	-0.160453554502	2.0	1.0	1.0
24	152	2.55636701297	2.0	1.0	1.0
25	152	2.48255344634	0.0	1.0	1.0
26	152	0.519790533191	1.0	1.0	1.0
27	152	1.89245542438	0.0	1.0	1.0
28	152	0.640435483173	0.0	1.0	1.0
29	152	0.835091370546	2.0	1.0	1.0
30	152	3.02305823612	3.0	1.0	1.0
31	152	3.85255634414	4.0	1.0	1.0
32	152	4.78591195287	2.0	1.0	1.0
33	152	2.33876415211	3.0	1.0	1.0
34	152	3.70453008584	1.0	1.0	1.0
35	152	1.31566354748	4.0	1.0	1.0
36	152	4.98985227089	6.0	1.0	0.0
37	152	6.73796961374	6.0	0.0	0.0
38	152	6.46488478311	13.0	0.0	0.0
39	152	14.1154085546	14.0	0.0	0.0
40	152	14.1081681124	12.0	0.0	0.0
41	152	11.6789033349	14.0	0.0	0.0
42	152	13.974940842	12.0	0.0	0.0
43	152	11.4442469766	12.0	0.0	0.0
44	152	11.7940564728	13.0	0.0	0.0
45	152	12.8592973438	13.0	0.0	0.0
46	152	12.774240694	14.0	0.0	0.0
47	152	13.877408941	14.0	0.0	0.0
48	152	13.6987326172	14.0	0.0	0.0
49	152	13.6938923502	14.0	0.0	0.0
50	152	13.6661391713	14.0	0.0	0.0
51	152	13.6698090406	15.0	0.0	0.0
52	152	14.7822824934	17.0	0.0	0.0
53	152	16.853601053	14.0	0.0	0.0
54	152	13.222687396	12.0	0.0	0.0
55	152	11.4130652204	8.0	0.0	0.0
56	152	7.2437975726	9.0	0.0	0.0
57	152	9.06669769423	6.0	0.0	0.0
58	152	5.68713932633	16.0	0.0	0.0
59	152	17.3262246815	22.0	0.0	0.0
60	152	22.488738577	28.0	0.0	0.0
61	152	28.2446069487	27.0	0.0	0.0
62	152	25.8790858893	23.0	0.0	0.0
63	152	21.3542673358	27.0	0.0	0.0
64	152	26.2444127605	27.0	0.0	0.0
65	152	25.7317424727	25.0	0.0	0.0
66	152	23.6027848624	25.0	0.0	0.0
67	152	23.797468164	25.0	0.0	0.0
68	152	23.8317513028	25.0	0.0	0.0
69	152	23.9044209349	25.0	0.0	0.0
70	152	23.916892088	29.0	0.0	0.0
71	152	28.3691609247	29.0	0.0	0.0
72	152	27.782187133	29.0	0.0	0.0
73	152	27.7552598262	29.0	0.0	0.0
74	152	27.6527249053	29.0	0.0	0.0
75	152	27.6685092031	12.0	0.0	0.0
76	152	8.81386189108	8.0	0.0	0.0
77	152	6.93498897077	10.0	0.0	0.0
78	152	9.93404753858	8.0	0.0	0.0
79	152	7.95889257009	9.0	0.0	0.0
80	152	9.474650731	21.0	0.0	0.0
81	152	22.5902876437	29.0	0.0	0.0
82	152	29.7131235317	29.0	0.0	0.0
83	152	28.367606941	25.0	0.0	0.0
84	152	23.4897734327	22.0	0.0	0.0
85	152	20.5396646294	22.0	0.0	0.0
86	152	21.0466915099	25.0	0.0	0.0
87	152	24.5377469485	25.0	0.0	0.0
88	152	24.1726413748	25.0	0.0	0.0
89	152	24.1593095399	25.0	0.0	0.0
90	152	24.0797922291	25.0	0.0	0.0
91	152	24.0906571204	25.0	0.0	0.0
92	152	24.1014354074	24.0	0.0	0.0
93	152	23.0000541597	24.0	0.0	0.0
94	152	23.1652537475	26.0	0.0	0.0
95	152	25.4071699056	26.0	0.0	0.0
96	152	25.1373978278	28.0	0.0	0.0
97	152	27.357306879	27.0	0.0	0.0
98	152	25.886790784	28.0	0.0	0.0
99	152	27.1504442531	21.0	0.0	0.0
100	152	19.1715732726	21.0	0.0	0.0
101	152	20.2827720903	23.0	0.0	0.0
102	152	22.5447333589	22.0	0.0	0.0
103	152	21.339523609	20.0	0.0	0.0
104	152	19.2608677187	12.0	0.0	0.0
105	152	10.6273477531	0.0	0.0	1.0
106	152	-1.45245332952	0.0	1.0	1.0
107	152	0.549125734455	2.0	1.0	1.0
108	152	3.1036244733	0.0	1.0	1.0
109	152	0.899384276491	0.0	1.0	1.0
110	152	1.18383520795	0.0	1.0	1.0
111	152	1.1239207317	8.0	1.0	0.0
112	152	10.0846494232	8.0	0.0	0.0
113	152	8.81954146349	7.0	0.0	0.0
114	152	7.63574113407	7.0	0.0	0.0
115	152	7.54778051295	9.0	0.0	0.0
116	152	9.77503155428	12.0	0.0	0.0
117	152	12.824890023	11.0	0.0	0.0
118	152	11.2226132067	15.0	0.0	0.0
119	152	15.7459348135	16.0	0.0	0.0
120	152	16.1500632994	18.0	0.0	0.0
121	152	18.2191771481	17.0	0.0	0.0
122	152	16.6693530334	11.0	0.0	0.0
123	152	10.1078279761	7.0	0.0	0.0
