	avail_bikes	timestamp
335	26	2016-01-01 00:00:00
3509	26	2016-01-01 01:00:00
3748	26	2016-01-01 02:00:00
4529	27	2016-01-01 03:00:00
536	27	2016-01-01 04:00:00
901	27	2016-01-01 05:00:00
1517	27	2016-01-01 06:00:00
1903	28	2016-01-01 07:00:00
2934	25	2016-01-01 08:00:00
3308	25	2016-01-01 09:00:00
3927	24	2016-01-01 10:00:00
4514	25	2016-01-01 11:00:00
3179	27	2016-01-01 12:00:00
575	29	2016-01-01 13:00:00
4250	25	2016-01-01 14:00:00
3877	25	2016-01-01 15:00:00
3537	23	2016-01-01 16:00:00
2636	20	2016-01-01 17:00:00
1936	17	2016-01-01 18:00:00
1616	16	2016-01-01 19:00:00
657	16	2016-01-01 20:00:00
210	16	2016-01-01 21:00:00
4487	15	2016-01-01 22:00:00
3777	15	2016-01-01 23:00:00
2183	15	2016-01-02 00:00:00
3722	15	2016-01-02 01:00:00
3284	15	2016-01-02 02:00:00
2535	17	2016-01-02 03:00:00
1845	17	2016-01-02 04:00:00
1502	17	2016-01-02 05:00:00
850	17	2016-01-02 06:00:00
211	18	2016-01-02 07:00:00
4248	18	2016-01-02 08:00:00
3708	20	2016-01-02 09:00:00
3341	18	2016-01-02 10:00:00
2402	17	2016-01-02 11:00:00
1603	17	2016-01-02 12:00:00
4634	18	2016-01-02 13:00:00
64	10	2016-01-02 14:00:00
757	10	2016-01-02 15:00:00
1387	5	2016-01-02 16:00:00
2295	3	2016-01-02 17:00:00
2580	3	2016-01-02 18:00:00
3448	3	2016-01-02 19:00:00
3621	1	2016-01-02 20:00:00
4348	1	2016-01-02 21:00:00
421	1	2016-01-02 22:00:00
747	1	2016-01-02 23:00:00
1467	1	2016-01-03 00:00:00
4509	3	2016-01-03 01:00:00
2568	3	2016-01-03 02:00:00
3053	2	2016-01-03 03:00:00
1321	2	2016-01-03 04:00:00
2065	2	2016-01-03 05:00:00
425	2	2016-01-03 06:00:00
1053	3	2016-01-03 07:00:00
3992	3	2016-01-03 08:00:00
4398	3	2016-01-03 09:00:00
2810	6	2016-01-03 10:00:00
3455	10	2016-01-03 11:00:00
2283	13	2016-01-03 12:00:00
3860	14	2016-01-03 13:00:00
1117	4	2016-01-03 14:00:00
145	3	2016-01-03 15:00:00
2042	7	2016-01-03 16:00:00
1413	10	2016-01-03 17:00:00
3032	11	2016-01-03 18:00:00
2885	12	2016-01-03 19:00:00
4689	13	2016-01-03 20:00:00
4082	12	2016-01-03 21:00:00
1012	9	2016-01-03 22:00:00
399	10	2016-01-03 23:00:00
3477	8	2016-01-04 00:00:00
9	8	2016-01-04 01:00:00
2118	8	2016-01-04 02:00:00
1598	8	2016-01-04 03:00:00
3072	8	2016-01-04 04:00:00
2442	8	2016-01-04 05:00:00
4247	8	2016-01-04 06:00:00
4078	11	2016-01-04 07:00:00
1176	16	2016-01-04 08:00:00
424	16	2016-01-04 09:00:00
2339	26	2016-01-04 10:00:00
1256	27	2016-01-04 11:00:00
298	28	2016-01-04 12:00:00
3573	28	2016-01-04 13:00:00
1266	26	2016-01-04 14:00:00
1888	22	2016-01-04 15:00:00
4762	3	2016-01-04 19:00:00
2954	2	2016-01-04 20:00:00
3289	3	2016-01-04 21:00:00
1576	3	2016-01-04 22:00:00
2327	2	2016-01-04 23:00:00
2461	3	2016-01-05 00:00:00
1096	3	2016-01-05 01:00:00
1277	3	2016-01-05 02:00:00
1900	3	2016-01-05 03:00:00
2493	3	2016-01-05 04:00:00
3490	3	2016-01-05 05:00:00
4098	3	2016-01-05 06:00:00
4816	3	2016-01-05 07:00:00
594	6	2016-01-05 08:00:00
979	13	2016-01-05 09:00:00
1204	16	2016-01-05 10:00:00
2289	19	2016-01-05 11:00:00
902	21	2016-01-05 12:00:00
2609	19	2016-01-05 13:00:00
2114	20	2016-01-05 14:00:00
1418	22	2016-01-05 15:00:00
659	21	2016-01-05 16:00:00
589	19	2016-01-05 17:00:00
4748	16	2016-01-05 18:00:00
4127	15	2016-01-05 19:00:00
3407	16	2016-01-05 20:00:00
2975	10	2016-01-05 21:00:00
2248	7	2016-01-05 22:00:00
1225	3	2016-01-05 23:00:00
4636	2	2016-01-06 00:00:00
1419	3	2016-01-06 01:00:00
607	3	2016-01-06 02:00:00
433	3	2016-01-06 03:00:00
4526	3	2016-01-06 04:00:00
4136	3	2016-01-06 05:00:00
3139	4	2016-01-06 06:00:00
2866	7	2016-01-06 07:00:00
1893	10	2016-01-06 08:00:00
1415	16	2016-01-06 09:00:00
660	21	2016-01-06 10:00:00
279	21	2016-01-06 11:00:00
3959	20	2016-01-06 12:00:00
1984	20	2016-01-06 13:00:00
2599	19	2016-01-06 14:00:00
3176	14	2016-01-06 15:00:00
4215	10	2016-01-06 16:00:00
4587	3	2016-01-06 17:00:00
78	0	2016-01-06 18:00:00
1139	0	2016-01-06 19:00:00
1788	0	2016-01-06 20:00:00
1817	0	2016-01-06 21:00:00
2824	0	2016-01-06 22:00:00
3428	0	2016-01-06 23:00:00
3789	0	2016-01-07 00:00:00
2014	2	2016-01-07 01:00:00
42	3	2016-01-07 02:00:00
1016	3	2016-01-07 03:00:00
3646	3	2016-01-07 04:00:00
4289	2	2016-01-07 05:00:00
2644	2	2016-01-07 06:00:00
3010	4	2016-01-07 07:00:00
1365	10	2016-01-07 08:00:00
1805	22	2016-01-07 09:00:00
359	27	2016-01-07 10:00:00
798	26	2016-01-07 11:00:00
4391	24	2016-01-07 12:00:00
1564	27	2016-01-07 13:00:00
3098	26	2016-01-07 14:00:00
2563	26	2016-01-07 15:00:00
4339	22	2016-01-07 16:00:00
4212	21	2016-01-07 17:00:00
911	10	2016-01-07 18:00:00
135	4	2016-01-07 19:00:00
2388	1	2016-01-07 20:00:00
1384	0	2016-01-07 21:00:00
3591	0	2016-01-07 22:00:00
2823	0	2016-01-07 23:00:00
1074	0	2016-01-08 00:00:00
2870	1	2016-01-08 01:00:00
4713	1	2016-01-08 02:00:00
