	avail_bikes	timestamp
3745	0	2016-01-08 14:00:00
4497	0	2016-01-08 15:00:00
2616	0	2016-01-08 16:00:00
3562	3	2016-01-08 17:00:00
1385	7	2016-01-08 18:00:00
2363	12	2016-01-08 19:00:00
496	7	2016-01-08 20:00:00
952	4	2016-01-08 21:00:00
4143	4	2016-01-08 22:00:00
4475	7	2016-01-08 23:00:00
538	7	2016-01-09 00:00:00
3258	8	2016-01-09 01:00:00
4169	9	2016-01-09 02:00:00
4821	9	2016-01-09 03:00:00
75	9	2016-01-09 04:00:00
691	9	2016-01-09 05:00:00
1316	9	2016-01-09 06:00:00
2229	7	2016-01-09 07:00:00
2886	7	2016-01-09 08:00:00
3317	1	2016-01-09 09:00:00
3954	1	2016-01-09 10:00:00
4582	1	2016-01-09 11:00:00
3442	6	2016-01-09 12:00:00
256	6	2016-01-09 13:00:00
4389	6	2016-01-09 14:00:00
3719	4	2016-01-09 15:00:00
3082	12	2016-01-09 16:00:00
2438	13	2016-01-09 17:00:00
1895	21	2016-01-09 18:00:00
1581	17	2016-01-09 19:00:00
859	16	2016-01-09 20:00:00
450	16	2016-01-09 21:00:00
4502	19	2016-01-09 22:00:00
3935	21	2016-01-09 23:00:00
4019	20	2016-01-10 00:00:00
2261	19	2016-01-10 01:00:00
21	19	2016-01-10 02:00:00
968	20	2016-01-10 03:00:00
3630	20	2016-01-10 04:00:00
4608	20	2016-01-10 05:00:00
2614	20	2016-01-10 06:00:00
3607	20	2016-01-10 07:00:00
1404	20	2016-01-10 08:00:00
1907	20	2016-01-10 09:00:00
415	19	2016-01-10 10:00:00
780	17	2016-01-10 11:00:00
4645	15	2016-01-10 12:00:00
1736	15	2016-01-10 13:00:00
3466	16	2016-01-10 14:00:00
2536	18	2016-01-10 15:00:00
4432	17	2016-01-10 16:00:00
3713	14	2016-01-10 17:00:00
860	7	2016-01-10 18:00:00
480	7	2016-01-10 19:00:00
2084	7	2016-01-10 20:00:00
1370	7	2016-01-10 21:00:00
3249	7	2016-01-10 22:00:00
2787	8	2016-01-10 23:00:00
4375	8	2016-01-11 00:00:00
1783	7	2016-01-11 01:00:00
1148	7	2016-01-11 02:00:00
178	7	2016-01-11 03:00:00
4709	7	2016-01-11 04:00:00
3796	8	2016-01-11 05:00:00
3161	6	2016-01-11 06:00:00
2790	1	2016-01-11 07:00:00
2369	0	2016-01-11 08:00:00
1390	0	2016-01-11 09:00:00
761	0	2016-01-11 10:00:00
401	0	2016-01-11 11:00:00
3772	1	2016-01-11 12:00:00
2309	2	2016-01-11 13:00:00
2406	5	2016-01-11 14:00:00
3387	1	2016-01-11 15:00:00
4192	3	2016-01-11 16:00:00
4624	2	2016-01-11 17:00:00
349	6	2016-01-11 18:00:00
719	10	2016-01-11 19:00:00
1781	11	2016-01-11 20:00:00
2067	14	2016-01-11 21:00:00
2768	12	2016-01-11 22:00:00
3143	13	2016-01-11 23:00:00
2889	13	2016-01-12 00:00:00
1006	13	2016-01-12 01:00:00
1745	13	2016-01-12 02:00:00
1868	13	2016-01-12 03:00:00
2990	13	2016-01-12 04:00:00
3379	13	2016-01-12 05:00:00
4009	12	2016-01-12 06:00:00
4296	6	2016-01-12 07:00:00
281	1	2016-01-12 08:00:00
951	1	2016-01-12 09:00:00
1698	1	2016-01-12 10:00:00
2286	0	2016-01-12 11:00:00
618	0	2016-01-12 12:00:00
2590	1	2016-01-12 13:00:00
2044	5	2016-01-12 14:00:00
1682	10	2016-01-12 15:00:00
1093	10	2016-01-12 16:00:00
112	9	2016-01-12 17:00:00
4361	12	2016-01-12 18:00:00
3788	19	2016-01-12 19:00:00
3588	20	2016-01-12 20:00:00
2623	22	2016-01-12 21:00:00
2320	22	2016-01-12 22:00:00
1236	22	2016-01-12 23:00:00
3230	20	2016-01-13 00:00:00
405	19	2016-01-13 01:00:00
2025	19	2016-01-13 02:00:00
1534	19	2016-01-13 03:00:00
3384	19	2016-01-13 04:00:00
2655	19	2016-01-13 05:00:00
4473	18	2016-01-13 06:00:00
3933	16	2016-01-13 07:00:00
939	11	2016-01-13 08:00:00
46	4	2016-01-13 09:00:00
2077	1	2016-01-13 10:00:00
1310	3	2016-01-13 11:00:00
97	4	2016-01-13 12:00:00
3013	7	2016-01-13 13:00:00
1479	6	2016-01-13 14:00:00
1913	5	2016-01-13 15:00:00
404	6	2016-01-13 16:00:00
641	6	2016-01-13 17:00:00
3661	9	2016-01-13 18:00:00
4280	22	2016-01-13 19:00:00
2521	20	2016-01-13 20:00:00
3358	22	2016-01-13 21:00:00
1758	21	2016-01-13 22:00:00
2223	23	2016-01-13 23:00:00
1480	24	2016-01-14 00:00:00
4353	22	2016-01-14 01:00:00
2705	22	2016-01-14 02:00:00
3219	21	2016-01-14 03:00:00
1701	21	2016-01-14 04:00:00
1899	21	2016-01-14 05:00:00
216	20	2016-01-14 06:00:00
888	12	2016-01-14 07:00:00
